factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"Next Sourcing Ltd House 217, Road 10, Mirpur DOHS, Dhaka Dhaka Dhaka 1216 2 8080974 No No 1",,Accord 2013,2025-09-22T21:15:09.177218,21,,23.8223,90.3654,exact_location,high,['Next'],[1.0],1,Next,1.0,premium_fast_fashion
"Novel Hurricane Knit Garments Ltd. Bokran, Monipur, Mirzapur, Gazipur Gazipur Dhaka 1703 1713093770 1 15 No No 519 1","NR EXPORTS House152nd floor, Road30, Sector7, Uttara Model Town , DhakaDhaka Dhaka 1230 1611557722 16 Yes Yes 12 15 1 NR Knit Composite Enayetnagar, Volail, Fatullah Narayanganj Dhaka No No 5 NR Knitting Mills own production Enayetnagar, Bholail, Fatullah Narayanganj Dhaka 2 7670042 1 16 No No  817 2 NRN Fashion House227, Road4, Mirpur, DOHS, Dhaka Dhaka Dhaka 1221 1710877777 16 Yes Yes 15 25 1 NTKC Plot 345350, Nilnagar, Konabari, Gazipur, BangladeshGazipur Dhaka 88029297141 4 110, 28, 34, 44 No No 2115 1",Accord 2013,2025-09-22T21:15:09.178231,21,,23.6167,90.5333,exact_location,high,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Opex Fashions Ltd. I1, I2 BlockC,Section 13, Mirpur, Dhaka Dhaka Dhaka 1216 2 9013766 1 19 No No 1400 1",,Accord 2013,2025-09-22T21:15:09.179544,21,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Opex Stylewear Ltd 561, BlockC,Section 13, Mirpur, Dhaka Dhaka Dhaka 2 8828860 3 11221039 No No All 4500 2",,Accord 2013,2025-09-22T21:15:09.179589,21,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Organic Jeans Ltd. Plot No. A1  2, BlockB, BSCIC Industrial Area,","Fouzderhat , Sagarika RoadChittagong Chittagong 2 1855545541 24 No No 1",Accord 2013,2025-09-22T21:15:09.254284,22,,22.246917717948307,91.79630358328215,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
Orpat Sweaters Ltd. 1NO MOHIM GANGULI ROAD ALJOYNAL,"Osanian Style and Fashion Wear 43 Chiriakhana Road, Mirpur1 Dhaka Dhaka Dhaka 1216 2 9020749 1 16 No No 2",Accord 2013,2025-09-22T21:15:09.254700,22,,23.8223,90.3654,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
"Pabna knit Design ltd. Plot2, Road4, BlockB, Section02 Dhaka Dhaka 1216 2 9001514 16, Yes Yes 16, 23, floor","Pacific Enterprise 4113A,zikatala Dhaka Dhaka 1209 2 9134184 15 Yes Yes 1,2,3,4 20 1",Accord 2013,2025-09-22T21:15:09.255130,22,,23.8103,90.4125,district,low,['PVH'],[1.0],1,PVH,1.0,other_brands
"Pacific Sweaters Ltd. 2316, BB Road. Chashara CA, Narayanganj Narayanganj Dhaka 2 7630906 No No 2",,Accord 2013,2025-09-22T21:15:09.255263,22,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Paddocks Jeans Ltd. Plot  5960, Dhaka Export Processing Zone","DEPZ , Ganakbari , SavarDhaka Dhaka 1349 2 7742849 1 13 No No 2350 3",Accord 2013,2025-09-22T21:15:09.255289,22,,23.862437192002762,90.27111365750116,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"Pearl Prince Apparels Ltd Plot No.14, BlockA, Squed Road, Cherag Ali","Road , Tongi, GazipurGazipur Dhaka 1711 1943047230 1 18 No No 1500 5",Accord 2013,2025-09-22T21:15:09.256775,22,,24.019982877162352,90.38468788986296,area_match,medium,['PVH'],[1.0],1,PVH,1.0,other_brands
"PENTAGON FASHION WEAR LTD CAPITAL COOPERATIVE HOUSING SOCIETY,","HOUSE1, ROAD9, PAGAR, TONGI, GAZIPUR, BANGLADESHGAZIPUR Dhaka 1710 9814646 1 12 No No NA 300 1",Accord 2013,2025-09-22T21:15:09.420454,23,,24.012542283621418,90.38009839250162,area_match,medium,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"PENTAGON KNIT COM LTD CAPITAL COOPERATIVE HOUSING SOCIETY,","HOUSE1, ROAD9, PAGAR, TONGI, GAZIPUR, BANGLADESHGAZIPUR 9814646 1 13 No No NA 900 1",Accord 2013,2025-09-22T21:15:09.420533,23,,24.015681632658403,90.38195564526977,area_match,medium,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"PIMKIE APPARELS LTD. Plot  328, Block  F, Tongi, Industral Area Gazipur Dhaka 2 9815953 3 13 21 31 No No 1350 3","Pinaki A.G Tower  Plot 9  Block C, Tongi Industrial Area , Himardi ghi, Tongi Gazipur, DhakaGazipur Dhaka 2 8931996 7 Storied shared with 4",Accord 2013,2025-09-22T21:15:09.420621,23,767.0,23.8979,90.4026,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Pioneer Casual Wear Ltd. Zamgora, Earpur Union, Savar Dhaka Dhaka 2 1818262609 1 No No 5",,Accord 2013,2025-09-22T21:15:09.420826,23,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"POWER VANTAGE WEAR  SHIRTMINE LTD KAFRUL TOWER, 2348, KACHUKHATE,",CANTONMENTDHAKA Dhaka 2 87113210 1 16 No No 1000 3,Accord 2013,2025-09-22T21:15:09.421415,23,,23.8103,90.4125,district,low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"PROGRESSIVE APPARELS INDUSTRIES LIMITED 840838, DHANIALAPARA 5th FLOOR, DHAKA","TRUNK ROADChittagong Chittagong 4100 31 718476 106 14, Yes No 12,3,4 650 1 Prominent Apparels House Sha 74, North Bada, Bazar, Gulshan Dhaka Dhaka 2 9862440 No No 1",Accord 2013,2025-09-22T21:15:09.421957,23,,23.7925,90.4078,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
"QPOINT FASHIONS LTD Plot 12,BlockKha,Road 1,Section6,Mirpur10 Dhaka Dhaka 1216 2 9024242 17, Yes No 14,5,6,7 950 3","QUALITY APPARELLS 63C 2,KATASUR,MOHAMMADPUR,Dhaka, BangladeshDHAKA 9117955 1 16 No No 10,1,2,3,4,5 497 1 Quality Apparels 63C 2, Katasur Mohammadpur Dhaka Dha ka 2 1912058258 6488 No No 2",Accord 2013,2025-09-22T21:15:09.422382,23,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
