factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"Newage Apparels Ltd. Purbo Narshinghapur, Zirabo, Ashulia, Dhaka,",BangladeshDhaka Dhaka 1710912376 5 1328314253 No No 4000 4,Accord 2013,2025-09-22T21:15:09.109151,20,,23.8103,90.4125,district,low,[],[],0,,0.0,unidentified
"NEWAGE GARMENTS LIMITED 42 I, Indira Road, Farmgate DHAKA Dhaka 2 9126535 1 19 No No 1000 1",,Accord 2013,2025-09-22T21:15:09.109219,20,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"NEWTECH APPARELS LTD SALEHA COMPLEX, 215 DT ROAD, DEWANHAT,","DOUBLE MOORING THANAChittagong Chittagong 4100 31 2513810 16, Yes No 11,2,3,4,5 630 1",Accord 2013,2025-09-22T21:15:09.109241,20,,22.24632005699664,91.79936588652261,area_match,medium,[],[],0,,0.0,unidentified
"Newtex Design Ltd Gorai, Industrial Area, Mirzapur Tangail Dhaka 1942 1717057826 7 14 22 31 41 51 61",71No No 1100 3,Accord 2013,2025-09-22T21:15:09.109315,20,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Next Sourcing Ltd House 217, Road 10, Mirpur DOHS, Dhaka Dhaka Dhaka 1216 2 8080974 No No 1",,Accord 2013,2025-09-22T21:15:09.177218,21,,23.8223,90.3654,exact_location,high,['Next'],[1.0],1,Next,1.0,premium_fast_fashion
"Nexus Fashion LTD Nexus Tower, Vogra Joydebpur Gazipur Dhaka 2 9252774 No No 1","TaltolaDhaka Dhaka 2 9145910 No No 1 Nexus Sweater Ind.pvt Ltd. Vogra, Joydebpur Gazipur Dh aka 1704 2 9252774 3 18 21 31 No No 1300 8",Accord 2013,2025-09-22T21:15:09.177265,21,179.0,23.9989,90.4203,exact_location,high,[],[],0,,0.0,unidentified
"Niagara Textiles Ltd Chandra circle, UnionAtabaha, Kaliakair Gazipur Dhaka 2 2512334 No No 6","Nice Cotton Rak Tower4th floor, Sector  3, Uttara 1230, Dhaka2 1715243253 No No 1",Accord 2013,2025-09-22T21:15:09.177424,21,,24.05,90.2167,exact_location,high,[],[],0,,0.0,unidentified
"NIGHTINGALE FASHION LTD Plot A 8485 BSCIC Ind Estate, Konabari, Gazipur Gazipur Dhaka 1346 2 9297190 1 18 No No NA 900 1",,Accord 2013,2025-09-22T21:15:09.177520,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Nipa Fashionwear Ltd Selina Tower, Holan Road, Islam Bag, Dhaka Dhaka Dhaka 1230 2 8962683 4 18 21 36 41 No Yes 10 7 20 305",402019 7,Accord 2013,2025-09-22T21:15:09.177571,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Nirzhor Knitwear Ltd D.N.Road, Pagla NARAYANGANJ Dhaka 1400 No No 1",,Accord 2013,2025-09-22T21:15:09.177612,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
