Brand,Coefficient (Basic),Std_Error (Basic),P_Value (Basic),Coefficient (Controls),Std_Error (Controls),P_Value (Controls),Sample_Size,N_Treated
Mango,-0.00935537891093348,0.0019835631752639325,2.399939009140867e-06,,,,173065,37811
Pvh,-0.006889147447565013,0.0016173134955267776,2.047710371870984e-05,,,,173065,73372
Canda,-0.00935537891093348,0.0019835631752639325,2.399939009140867e-06,,,,173065,37811
Primark,-0.00935537891093348,0.0019835631752639325,2.399939009140867e-06,,,,173065,37811
Walmart,-0.006889147447565013,0.0016173134955267776,2.047710371870984e-05,,,,173065,73372
