Subgroup,lower_bound,upper_bound,point_estimate,se,trim_fraction,selection_coef,selection_p,N
Full sample (ages 10-13),-0.005589380047537935,-0.005589380047537935,-0.005589380047537935,0.007532224890277457,0.0,-3.979320128619235e-15,0.0025171695682406387,32017
Full sample: enrollment,0.01609795018085283,0.01609795018085283,0.01609795018085283,0.011317391224232025,0.0,-0.0009293854261556831,0.6508068313495559,31667
Girls: child labor,-0.019448846823025254,-0.019448846823025254,-0.019448846823025254,0.012064178109854546,0.0,-1.9984014443252818e-15,1.3520715642601005e-05,15908
Girls: enrollment,0.03250842581115955,0.03250842581115955,0.03250842581115955,0.012967712240206803,0.0,-0.0007222255461684784,0.7794064387987016,15758
Middle+Richer: enrollment,0.05055233634562839,0.05055233634562839,0.05055233634562839,0.016409045222671143,0.0,0.0054360937033695236,0.08299567412280441,12103
