Reference_Year,Coefficient,SE,p_value,N
2000,-0.3705319464550118,0.1454279678400206,0.010838201815518499,13602
2004,-0.3699461302208924,0.10668584476372535,0.0005250862866653367,13395
2007,-0.11072276844288813,0.1359918343126164,0.4155378955218004,12709
2011,-0.07170903845940509,0.09325130055111083,0.44190102413575616,15724
Pooled,-0.22788586475585348,0.09899124248343212,0.021330601122644767,32006
