tier,brands,n_factories,coef,se,p_value,ci_lo,ci_hi
premium_fast_fashion,"H&M, Uniqlo, Mango",108,-0.004016383821901327,0.01117086382872758,0.7191903937669273,-0.025911276926207382,0.01787850928240473
value_fast_fashion,"Primark, C&A",93,-0.015814176891116867,0.008291139797529438,0.056474165117876014,-0.03206481089427456,0.0004364571120408292
mass_market,"Walmart, Gap",42,-0.01652885554519036,0.007414333525811884,0.025793216936700853,-0.03106094925578165,-0.0019967618345990683
european_premium,"M&S, PVH",109,-0.010434632472284072,0.011150115806795813,0.3493598176559338,-0.032288859453603866,0.011419594509035721
