Gender,Outcome,Coefficient,SE,p_value,Mean_DV,N
Boys,Child Labor,0.008247189023829394,0.012084972519780109,0.4949649349137415,0.11124216276615556,16109
Boys,Enrollment,2.165105974061076e-05,0.01192405973150681,0.9985512453653709,0.8896850839147652,15909
Girls,Child Labor,-0.019448846823025254,0.012064178109854546,0.10693683913122562,0.047963288911239625,15908
Girls,Enrollment,0.03250842581115955,0.012967712240206803,0.012180398549517642,0.9186444980327453,15758
