Treatment,Coefficient,SE,p_value,N
Proximity Score,-0.012543960635884272,0.03201078498932092,0.6951567097008995,32017
Log Distance,0.0015648017690032111,0.0037327909789989138,0.6750668807706143,32017
Factory Count (10km),-0.0030747454206120385,0.003196483454458108,0.3360922970224779,32042
