Quintile,Coefficient,SE,p_value,Mean_DV,N
Poorest,0.03285789309644964,0.03646712197844622,0.3675735037427371,0.8536243180046765,6415
Poorer,0.033782485750523554,0.02062640744856768,0.1014578005066682,0.9001883239171374,6372
Middle,0.05984381145854173,0.021362611875219546,0.005089181276886553,0.9280788177339901,6090
Richer,0.04706359626652306,0.016565310994518485,0.004495913825628508,0.9336437718277066,6013
Richest,0.029997639271049446,0.019149637162314204,0.11723487439607616,0.9077763021986129,6777
Middle+Richer,0.05055233634562839,0.016409045222671143,0.002064727396117362,0.9308435924977279,12103
