Complexity_Type,Coefficient,Std_Error,P_Value,Sample_Size,N_Treated
Single brand,-0.00935537891093348,0.0019835631752639325,2.399939009140867e-06,173065,37811
Multi-brand (2),-0.006889147447565013,0.0016173134955267776,2.047710371870984e-05,173065,73372
Complex (3+),-0.00935537891093348,0.0019835631752639325,2.399939009140867e-06,173065,37811
